scenario,t,v1,v2,h1_0,h2_0,h3_0,h4_0,h1,h2,h3,h4
217,13.421052631578947,1.0621209852257478,2.3100177256485948,7.2794748624726715,4.2960687564702145,16.792354066235305,8.116583289726092,9.519716334697973,6.2796464833805725,12.859604237267499,6.049457452751941
217,14.210526315789474,1.0621209852257478,2.3100177256485948,7.2794748624726715,4.2960687564702145,16.792354066235305,8.116583289726092,9.612009822739427,6.370953826011638,12.652008605855183,5.94057525496428
217,15.0,1.0621209852257478,2.3100177256485948,7.2794748624726715,4.2960687564702145,16.792354066235305,8.116583289726092,9.700441654758366,6.459768967020211,12.446984634861815,5.8330755901152695
218,0.0,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507
218,0.7894736842105263,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,7.282546426377677,15.185825482912792,7.946852413131012,18.47736262749458
218,1.5789473684210527,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,7.401733240951203,15.236021059954243,7.728322928549134,18.307537910476203
218,2.3684210526315788,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,7.51556320595586,15.2845910088345,7.513250687438537,18.13894473785752
218,3.1578947368421053,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,7.624147442976444,15.33155272497139,7.301628957210978,17.971579787081225
218,3.947368421052632,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,7.72757963010051,15.376921289855028,7.09345148354336,17.8054400660161
218,4.7368421052631575,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,7.82595809127967,15.420712864181386,6.888711315898747,17.640522313280457
218,5.526315789473684,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,7.919383436426671,15.462944356293864,6.687400898302534,17.47682305683377
218,6.315789473684211,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,8.007951067241578,15.503632211112485,6.489512546988298,17.314338851653915
218,7.105263157894737,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,8.091753736969396,15.542792633296932,6.295038482055445,17.153066263348137
218,7.894736842105264,2.368953451992941,0.6290480546819384,7.1579233520676535,15.13399458859667,8.168834070692844,18.64841789010507,8.170880868490427,15.58044153672875,6.103970783953424,16.993001866117854
